Dominio,Fecha,Hora inicio,Hora finalizacion,Tiempo total de manejo,Exceso de intervalo,Tiempos prohibidos
AA067CL,2019-05-27,11:08:17,21:37:32,8:43:55,False,False
AA076ML,2019-05-27,6:55:18,21:30:12,10:32:53,False,False
AA340WT,2019-05-27,6:57:43,21:05:26,5:06:10,False,False
AA599MH,2019-05-27,8:44:33,20:57:41,5:46:00,False,False
AA806VT,2019-05-27,8:54:19,21:48:41,10:23:06,False,False
AA806VU,2019-05-27,6:15:23,19:21:28,7:29:19,False,False
AA814MM,2019-05-27,7:22:20,16:00:09,6:20:28,False,False
AA814MN,2019-05-27,10:30:51,21:17:40,9:02:27,False,False
AA970ZY,2019-05-27,11:04:42,21:58:01,10:41:08,True,False
AB146RC,2019-05-27,10:11:52,17:32:26,4:16:43,False,False
AB412XO,2019-05-27,9:06:42,19:42:44,1:09:23,False,False
AB412XV,2019-05-27,11:41:24,20:44:58,4:50:18,False,False
AB483WC,2019-05-27,6:24:57,21:25:41,10:12:20,False,False
AB483WD,2019-05-27,8:55:23,20:30:43,0:29:11,False,False
AB483WF,2019-05-27,7:22:01,20:34:36,9:30:04,False,False
AB483WG,2019-05-27,6:09:41,19:04:25,7:54:57,False,False
AB483WH,2019-05-27,7:46:21,20:31:38,5:01:36,False,False
AB753JX,2019-05-27,8:15:49,21:05:30,8:41:22,False,False
AB897EG,2019-05-27,6:31:46,21:53:44,11:35:19,False,False
AB897EH,2019-05-27,18:03:20,19:07:53,0:14:54,False,False
AB897EI,2019-05-27,10:15:19,20:35:54,4:20:06,False,False
AB897EJ,2019-05-27,7:13:41,21:14:57,11:10:28,True,False
AB912QF,2019-05-27,6:15:00,12:04:33,4:18:42,False,False
AB973YH,2019-05-27,10:33:39,21:55:32,9:05:27,False,False
AB973YI,2019-05-27,6:15:50,17:27:37,4:06:02,False,False
AB973YJ,2019-05-27,8:58:01,20:33:10,5:30:40,False,False
AB973YK,2019-05-27,5:57:51,19:41:48,5:26:05,False,True
AC019SU,2019-05-27,7:24:08,21:26:36,11:29:41,False,False
AC019SV,2019-05-27,8:01:22,15:15:35,6:08:46,False,False
AC019SX,2019-05-27,9:13:11,20:09:12,8:24:08,False,False
AC115XP,2019-05-27,9:49:38,16:19:06,2:31:58,False,False
AC115XQ,2019-05-27,6:18:09,21:17:35,11:28:16,False,False
AC115XT,2019-05-27,6:06:36,15:52:37,7:20:25,False,False
AC320EZ,2019-05-27,8:33:22,20:41:28,10:52:50,True,False
AC823YU,2019-05-27,6:38:14,22:09:19,11:39:24,False,True
AC823YV,2019-05-27,7:57:31,21:56:53,11:41:41,False,False
AC823YW,2019-05-27,7:59:41,18:03:53,4:20:44,False,False
AC823YX,2019-05-27,7:51:20,20:50:46,9:52:27,False,False
AC838PA,2019-05-27,5:57:32,21:58:53,11:26:35,True,True
AD109VS,2019-05-27,6:14:48,20:46:36,7:31:47,False,False
AD225QI,2019-05-27,7:35:34,21:21:33,6:57:59,False,False
AD225QJ,2019-05-27,12:06:02,16:04:08,1:45:30,False,False
AD303SA,2019-05-27,10:23:10,17:39:25,2:27:17,False,False
AD303SB,2019-05-27,5:57:28,21:59:44,3:34:10,False,True
AD303SC,2019-05-27,6:00:48,18:24:41,11:24:01,False,False
AD303SF,2019-05-27,18:00:50,21:02:51,3:02:01,False,False
AD303SH,2019-05-27,7:42:26,17:44:40,7:02:56,False,False
AD339LT,2019-05-27,5:58:02,20:00:06,7:22:04,False,True
AD339LU,2019-05-27,6:34:41,14:17:10,4:27:12,False,False
AD339LV,2019-05-27,10:26:50,20:43:49,7:26:37,False,False
AD339LX,2019-05-27,7:09:15,22:10:24,7:54:15,False,True
AD339LZ,2019-05-27,7:10:45,21:11:23,8:54:32,False,False
AD415UO,2019-05-27,7:29:38,21:23:24,8:19:26,False,False
AD415UP,2019-05-27,6:15:44,21:55:22,11:43:28,False,False
AD415UT,2019-05-27,6:57:05,14:33:16,0:40:26,False,False
AD415UU,2019-05-27,5:59:59,22:04:01,11:16:58,True,True
AD415UV,2019-05-27,6:12:13,20:48:37,7:33:21,False,False
AD415UW,2019-05-27,4:59:32,20:02:34,9:03:41,False,True
AD415UX,2019-05-27,10:25:23,20:43:37,7:22:23,False,False
AD448RG,2019-05-27,19:09:03,22:02:14,1:53:29,False,True
AD479ZO,2019-05-27,8:11:30,20:50:22,7:26:10,False,False
AD479ZP,2019-05-27,7:31:47,19:24:20,8:09:47,False,False
AD479ZQ,2019-05-27,7:09:45,16:22:40,7:31:08,False,False
AD479ZR,2019-05-27,7:41:58,21:14:42,9:39:05,True,False
AD485SA,2019-05-27,7:32:49,21:03:33,7:51:39,False,False
AD485SS,2019-05-27,6:58:21,19:11:27,5:04:49,False,False
AD485ST,2019-05-27,9:06:39,20:30:20,7:47:03,True,False
AD500XY,2019-05-27,7:31:19,10:30:52,2:52:41,False,False
AD512VA,2019-05-27,7:24:24,10:29:56,2:54:43,False,False
JCD193,2019-05-27,12:06:38,21:13:42,7:01:31,False,False
KEF070,2019-05-27,8:29:00,20:40:09,7:54:57,False,False
KEF081,2019-05-27,7:46:47,21:59:17,11:54:49,True,False
KEZ586,2019-05-27,7:32:26,21:46:47,9:34:12,False,False
KIR128,2019-05-27,8:15:34,15:24:12,0:03:22,False,False
OPL071,2019-05-27,7:48:56,18:14:45,2:24:38,False,False
OVL464,2019-05-27,6:30:08,21:08:42,11:01:42,False,False
OWA722,2019-05-27,10:49:22,21:21:55,9:36:47,False,False
OWA723,2019-05-27,6:34:38,22:30:59,11:32:03,False,True
OWA765,2019-05-27,7:53:58,20:46:16,6:07:12,False,False
OXM904,2019-05-27,9:46:41,21:38:18,8:41:01,False,False
OXM920,2019-05-27,5:20:41,21:00:34,13:12:42,False,True
OZP382,2019-05-27,10:59:08,20:35:10,8:08:15,False,False
PAP660,2019-05-27,7:58:23,22:16:15,11:48:35,False,True
PIE732,2019-05-27,6:57:58,19:12:27,5:11:53,False,False
PIE736,2019-05-27,8:13:54,21:30:01,7:18:54,False,False
PIE737,2019-05-27,7:57:45,20:46:46,7:15:22,False,False
PIE738,2019-05-27,7:02:51,21:35:47,8:32:21,False,False
