Dominio;Evento;Datos;Ubicación;Fecha;Velocidad;Latitud;Longitud;
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 22:24:05";"0";"-38,90482";"-68,09496";""
"AA599MH";"Contacto OFF";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:24:04";"0";"-38,90479";"-68,09494";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:23:56";"0";"-38,90479";"-68,09494";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:23:27";"0";"-38,90479";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:22:57";"0";"-38,90479";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:22:26";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:21:56";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:21:27";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:20:57";"0";"-38,90478";"-68,09495";""
"AA599JJ";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:20:26";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:19:56";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:19:27";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:18:56";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:18:26";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:17:57";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:17:27";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:16:57";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:16:26";"0";"-38,90478";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:15:57";"0";"-38,90478";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:15:26";"0";"-38,90478";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:14:57";"0";"-38,90478";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:14:26";"0";"-38,90477";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:13:57";"0";"-38,90477";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:13:26";"0";"-38,90477";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:12:57";"0";"-38,90477";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:12:26";"0";"-38,90478";"-68,09496";""
"AA599MH";"Contacto ON";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 21:11:59";"0";"-38,90478";"-68,09496";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 20:25:08";"0";"-38,90483";"-68,09494";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.77 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 19:25:09";"0";"-38,90477";"-68,09494";""
"AA599MH";"Contacto OFF";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 18:25:07";"0";"-38,90481";"-68,09493";""
"AA599MH";"Contacto ON";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 18:25:05";"0";"-38,90481";"-68,09493";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 17:50:06";"0";"-38,90481";"-68,09498";""
"AA599MH";"Inicio de detenido";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:51:14";"0";"-38,9048";"-68,09495";""
"AA599MH";"Control Conducción";"382 | null | Conducción continua excedido ";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:51:13";"0";"-38,9048";"-68,09495";""
"AA599MH";"Tiempo de conducción continua excedido";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:51:13";"0";"-38,9048";"-68,09495";""
"AA599MH";"Contacto OFF";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:50:06";"0";"-38,9048";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:49:41";"0";"-38,9048";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:49:10";"5";"-38,90487";"-68,0949";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.82 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:48:41";"7";"-38,90533";"-68,09462";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.86 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:48:10";"11";"-38,90599";"-68,09414";""
"AA599MH";"Cambio de curso";"";"S/N a 8.88 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:48:02";"10";"-38,90621";"-68,09398";""
"AA599MH";"Cambio de curso";"";"S/N a 8.89 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:57";"10";"-38,90634";"-68,09396";""
"AA599MH";"Cambio de curso";"";"S/N a 8.91 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:53";"11";"-38,90642";"-68,09405";""
"AA599MH";"Fin de detenido";"";"S/N a 8.91 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:51";"11";"-38,90643";"-68,09409";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.90 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:41";"9";"-38,90623";"-68,0942";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.83 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:10";"6";"-38,90555";"-68,09449";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.79 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:46:40";"0";"-38,90488";"-68,09501";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:46:11";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:45:41";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:45:11";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:44:40";"0";"-38,90481";"-68,09507";""
"AA599MH";"Inicio de detenido";" | 00:03:35";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:44:16";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:44:11";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:43:41";"0";"-38,90481";"-68,09507";""
